序号,姓名,所属公司,现任基金,累计从业时间,现任基金资产总规模,现任基金最佳回报
1,艾邦妮,华夏基金,华夏国企改革混合,999,3.15,6.77
1,艾邦妮,华夏基金,华夏核心价值混合A,999,3.15,6.77
1,艾邦妮,华夏基金,华夏核心价值混合C,999,3.15,6.77
2,艾翀,中信建投基金,中信建投睿信灵活配置混合A,872,1.45,51.95
2,艾翀,中信建投基金,中信建投睿利A,872,1.45,51.95
2,艾翀,中信建投基金,中信建投睿利C,872,1.45,51.95
2,艾翀,中信建投基金,中信建投睿信灵活配置混合C,872,1.45,51.95
2,艾翀,中信建投基金,中信建投致远混合A,872,1.45,51.95
2,艾翀,中信建投基金,中信建投致远混合C,872,1.45,51.95
3,艾定飞,华商基金,华商电子行业量化股票发起式A,2373,10.04,52.47
3,艾定飞,华商基金,华商计算机行业量化股票发起式A,2373,10.04,52.47
3,艾定飞,华商基金,华商300智选混合A,2373,10.04,52.47
3,艾定飞,华商基金,华商300智选混合C,2373,10.04,52.47
3,艾定飞,华商基金,华商计算机行业量化股票发起式C,2373,10.04,52.47
3,艾定飞,华商基金,华商科创板量化选股混合A,2373,10.04,52.47
3,艾定飞,华商基金,华商科创板量化选股混合C,2373,10.04,52.47
3,艾定飞,华商基金,华商电子行业量化股票发起式C,2373,10.04,52.47
3,艾定飞,华商基金,华商上证科创板综合指数增强A,2373,10.04,52.47
3,艾定飞,华商基金,华商上证科创板综合指数增强C,2373,10.04,52.47
3,艾定飞,华商基金,华商大盘量化精选混合,2373,10.04,52.47
4,艾小军,国泰基金,国泰黄金ETF联接A,4151,1119.87,204.68
4,艾小军,国泰基金,国泰黄金ETF联接C,4151,1119.87,204.68
4,艾小军,国泰基金,国泰中证全指通信设备ETF联接A,4151,1119.87,204.68
4,艾小军,国泰基金,国泰中证全指通信设备ETF联接C,4151,1119.87,204.68
4,艾小军,国泰基金,国泰中证计算机主题ETF联接C,4151,1119.87,204.68
4,艾小军,国泰基金,国泰中证全指证券公司ETF联接A,4151,1119.87,204.68
4,艾小军,国泰基金,国泰中证全指证券公司ETF联接C,4151,1119.87,204.68
4,艾小军,国泰基金,国泰上证180金融ETF联接C,4151,1119.87,204.68
4,艾小军,国泰基金,国泰中证申万证券行业指数(LOF)C,4151,1119.87,204.68
4,艾小军,国泰基金,国泰国证航天军工指数(LOF)C,4151,1119.87,204.68
4,艾小军,国泰基金,国泰上证180金融ETF联接A,4151,1119.87,204.68
4,艾小军,国泰基金,国泰中证全指通信设备ETF联接E,4151,1119.87,204.68
4,艾小军,国泰基金,国泰黄金ETF联接E,4151,1119.87,204.68
4,艾小军,国泰基金,国泰中证全指证券公司ETF联接E,4151,1119.87,204.68
4,艾小军,国泰基金,国泰中证计算机主题ETF联接E,4151,1119.87,204.68
4,艾小军,国泰基金,国泰中证半导体材料设备主题ETF,4151,1119.87,204.68
4,艾小军,国泰基金,国泰标普500(QDII-ETF),4151,1119.87,204.68
4,艾小军,国泰基金,国泰中证计算机主题ETF联接A,4151,1119.87,204.68
4,艾小军,国泰基金,国泰中证申万证券行业指数(LOF)A,4151,1119.87,204.68
4,艾小军,国泰基金,国泰国证航天军工指数(LOF)A,4151,1119.87,204.68
4,艾小军,国泰基金,国泰上证180金融ETF,4151,1119.87,204.68
4,艾小军,国泰基金,国泰上证5年期国债ETF,4151,1119.87,204.68
4,艾小军,国泰基金,国泰上证10年期国债ETF,4151,1119.87,204.68
4,艾小军,国泰基金,国泰中证军工ETF,4151,1119.87,204.68
4,艾小军,国泰基金,国泰中证计算机ETF,4151,1119.87,204.68
4,艾小军,国泰基金,国泰CES半导体芯片ETF,4151,1119.87,204.68
4,艾小军,国泰基金,国泰中证全指证券公司ETF,4151,1119.87,204.68
4,艾小军,国泰基金,国泰纳斯达克100ETF,4151,1119.87,204.68
4,艾小军,国泰基金,国泰中证全指通信设备ETF,4151,1119.87,204.68
4,艾小军,国泰基金,国泰黄金ETF,4151,1119.87,204.68
5,安昀,施罗德基金(中国),施罗德恒享债券A,3260,2.14,16.22
5,安昀,施罗德基金(中国),施罗德恒享债券C,3260,2.14,16.22
5,安昀,施罗德基金(中国),施罗德中国动力股票A,3260,2.14,16.22
5,安昀,施罗德基金(中国),施罗德中国动力股票C,3260,2.14,16.22
6,包兵华,鹏华基金,鹏华研究驱动混合,2228,27.1,83.81
6,包兵华,鹏华基金,鹏华研究智选混合,2228,27.1,83.81
6,包兵华,鹏华基金,鹏华成长智选混合A,2228,27.1,83.81
6,包兵华,鹏华基金,鹏华成长智选混合C,2228,27.1,83.81
7,白冰洋,富国基金,富国洞见价值股票A,2836,7.38,8.89
7,白冰洋,富国基金,富国洞见价值股票C,2836,7.38,8.89
7,白冰洋,富国基金,富国洞见价值股票E,2836,7.38,8.89
8,薄官辉,银华基金,银华高端制造业混合A,3680,28.18,76.69
8,薄官辉,银华基金,银华中国梦30股票,3680,28.18,76.69
8,薄官辉,银华基金,银华兴盛股票,3680,28.18,76.69
8,薄官辉,银华基金,银华阿尔法混合,3680,28.18,76.69
8,薄官辉,银华基金,银华安盛混合,3680,28.18,76.69
8,薄官辉,银华基金,银华消费主题混合C,3680,28.18,76.69
8,薄官辉,银华基金,银华高端制造业混合C,3680,28.18,76.69
8,薄官辉,银华基金,银华消费主题混合A,3680,28.18,76.69
8,薄官辉,银华基金,银华优势企业混合,3680,28.18,76.69
9,边慧,银华基金,银华添润定期开放债券A,1522,29.7,13.38
9,边慧,银华基金,银华信用精选一年定开债,1522,29.7,13.38
9,边慧,银华基金,银华信用精选两年定开债,1522,29.7,13.38
9,边慧,银华基金,银华添润定期开放债券D,1522,29.7,13.38
9,边慧,银华基金,银华季季丰90天滚动持有债券A,1522,29.7,13.38
9,边慧,银华基金,银华季季丰90天滚动持有债券C,1522,29.7,13.38
10,卞竑,博时基金,博时安诚3个月定开债A,264,168.93,6.86
10,卞竑,博时基金,博时安诚3个月定开债C,264,168.93,6.86
10,卞竑,博时基金,博时富益纯债债券A,264,168.93,6.86
10,卞竑,博时基金,博时富华纯债债券A,264,168.93,6.86
10,卞竑,博时基金,博时民泽纯债债券A,264,168.93,6.86
10,卞竑,博时基金,博时富瑞纯债债券A,264,168.93,6.86
10,卞竑,博时基金,博时富乾3个月定开债,264,168.93,6.86
10,卞竑,博时基金,博时富瑞纯债债券C,264,168.93,6.86
10,卞竑,博时基金,博时民泽纯债债券C,264,168.93,6.86
10,卞竑,博时基金,博时富华纯债债券C,264,168.93,6.86
10,卞竑,博时基金,博时富华纯债债券D,264,168.93,6.86
10,卞竑,博时基金,博时富益纯债债券C,264,168.93,6.86
11,白洁,中银基金,中银悦享定期开放债券发起式,5184,552.53,35.0
11,白洁,中银基金,中银睿享定开债券,5184,552.53,35.0
11,白洁,中银基金,中银丰庆定期开放债券,5184,552.53,35.0
11,白洁,中银基金,中银欣享利率债,5184,552.53,35.0
11,白洁,中银基金,中银信用增利债券(LOF)C,5184,552.53,35.0
11,白洁,中银基金,中银恒泰9个月持有期债券A,5184,552.53,35.0
11,白洁,中银基金,中银恒泰9个月持有期债券C,5184,552.53,35.0
11,白洁,中银基金,中银恒嘉60天滚动持有短债A,5184,552.53,35.0
11,白洁,中银基金,中银恒嘉60天滚动持有短债C,5184,552.53,35.0
11,白洁,中银基金,中银恒嘉60天滚动持有短债E,5184,552.53,35.0
11,白洁,中银基金,中银月月鑫30天滚动持有债券A,5184,552.53,35.0
11,白洁,中银基金,中银月月鑫30天滚动持有债券C,5184,552.53,35.0
11,白洁,中银基金,中银信用增利债券(LOF)A,5184,552.53,35.0
12,鲍杰,易方达基金,易方达黄金ETF联接A,901,351.93,68.67
12,鲍杰,易方达基金,易方达黄金ETF联接C,901,351.93,68.67
12,鲍杰,易方达基金,易方达中证消费电子主题ETF联接发起式A,901,351.93,68.67
12,鲍杰,易方达基金,易方达中证消费电子主题ETF联接发起式C,901,351.93,68.67
12,鲍杰,易方达基金,易方达中证电信主题ETF联接发起式A,901,351.93,68.67
12,鲍杰,易方达基金,易方达中证电信主题ETF联接发起式C,901,351.93,68.67
12,鲍杰,易方达基金,易方达中证沪港深300ETF发起式联接A,901,351.93,68.67
12,鲍杰,易方达基金,易方达中证沪港深300ETF发起式联接C,901,351.93,68.67
12,鲍杰,易方达基金,易方达深证50ETF联接发起式A,901,351.93,68.67
12,鲍杰,易方达基金,易方达深证50ETF联接发起式C,901,351.93,68.67
12,鲍杰,易方达基金,易方达中证红利低波动ETF联接发起式A,901,351.93,68.67
12,鲍杰,易方达基金,易方达中证红利低波动ETF联接发起式C,901,351.93,68.67
12,鲍杰,易方达基金,易方达中证汽车零部件主题ETF联接发起式A,901,351.93,68.67
12,鲍杰,易方达基金,易方达中证汽车零部件主题ETF联接发起式C,901,351.93,68.67
12,鲍杰,易方达基金,易方达中证港股通高股息投资指数发起式A,901,351.93,68.67
12,鲍杰,易方达基金,易方达中证港股通高股息投资指数发起式C,901,351.93,68.67
12,鲍杰,易方达基金,易方达深证50ETF,901,351.93,68.67
12,鲍杰,易方达基金,易方达恒生港股通高股息低波动ETF,901,351.93,68.67
12,鲍杰,易方达基金,易方达中证汽车零部件主题ETF,901,351.93,68.67
12,鲍杰,易方达基金,易方达黄金ETF,901,351.93,68.67
12,鲍杰,易方达基金,易方达中证沪港深300ETF,901,351.93,68.67
12,鲍杰,易方达基金,易方达中证电信主题ETF,901,351.93,68.67
12,鲍杰,易方达基金,易方达中证红利低波动ETF,901,351.93,68.67
13,包剑,南方基金,南方初元中短债A,412,13.57,3.7
13,包剑,南方基金,南方初元中短债C,412,13.57,3.7
13,包剑,南方基金,南方初元中短债E,412,13.57,3.7
13,包剑,南方基金,南方月月享30天滚动持有债券发起A,412,13.57,3.7
13,包剑,南方基金,南方月月享30天滚动持有债券发起C,412,13.57,3.7
13,包剑,南方基金,南方月月享30天滚动持有债券发起E,412,13.57,3.7
14,包佳敏,湘财基金,湘财长顺混合发起式A,448,3.71,7.38
14,包佳敏,湘财基金,湘财长顺混合发起式C,448,3.71,7.38
14,包佳敏,湘财基金,湘财长源股票型A,448,3.71,7.38
14,包佳敏,湘财基金,湘财长源股票型C,448,3.71,7.38
