fund_code,fund_code,fund_name,fund_name,fund_type,manager_name,company,nav,acc_nav,daily_return,weekly_return,monthly_return,quarterly_return,half_year_return,yearly_return,two_year_return,three_year_return,ytd_return,since_inception_return,custom_return,fee
000001,000001,华夏成长混合,华夏成长混合,混合型-灵活,刘睿聪/ 郑晓辉,华夏基金,0.831,3.394,-0.84,4.79,-7.46,2.85,0.85,13.52,-12.06,-13.64,1.09,415.96,15.5772,0.15%
000003,000003,中海可转债债券A,中海可转债债券A,债券型-混合二级,梅寓寒,中海基金,0.838,1.048,-0.12,1.21,-6.47,-0.36,7.71,11.14,-1.53,1.82,0.6,-1.47,11.7333,0.08%
000004,000004,中海可转债债券C,中海可转债债券C,债券型-混合二级,梅寓寒,中海基金,0.82,1.03,-0.12,1.11,-6.5,-0.36,7.33,10.66,-2.38,0.49,0.49,-3.59,11.1111,0.00%
000006,000006,西部利得量化成长混合A,西部利得量化成长混合A,混合型-偏股,盛丰衍,西部利得基金,1.9635,2.2915,0.38,4.24,-6.97,3.69,10.68,21.49,-3.04,9.37,2.22,127.18,24.9602,0.15%
000008,000008,嘉实中证500ETF联接A,嘉实中证500ETF联接A,指数型-股票,何如/ 李直,嘉实基金,1.6344,1.7004,-0.42,4.92,-7.72,1.4,2.07,5.78,-9.97,-2.96,-2.01,71.84,8.6197,0.12%
000011,000011,华夏大盘精选混合A,华夏大盘精选混合A,混合型-灵活,屠环宇,华夏基金,14.407,21.663,-0.4,3.35,-7.42,0.29,-0.66,10.49,-11.91,-8.11,-2.25,2913.83,12.753,0.15%
000014,000014,华夏聚利债券A,华夏聚利债券A,债券型-混合一级,何家琪,华夏基金,1.8034,1.8034,-0.36,1.69,-2.6,1.78,7.7,10.48,-0.64,2.29,2.08,80.34,11.6587,0.06%
000015,000015,华夏纯债债券A,华夏纯债债券A,债券型-长债,柳万军,华夏基金,1.1697,1.5603,0.0,0.04,0.43,0.47,2.49,3.98,7.97,11.22,0.58,61.44,3.974,0.08%
000016,000016,华夏纯债债券C,华夏纯债债券C,债券型-长债,柳万军,华夏基金,1.1634,1.4942,0.0,0.03,0.39,0.37,2.28,3.57,7.11,9.83,0.46,53.69,3.5624,0.00%
000017,000017,财通可持续混合,财通可持续混合,混合型-偏股,夏钦,财通基金,1.092,2.908,-0.82,10.53,-11.44,-13.68,-9.83,-2.85,-15.09,-24.76,-14.02,192.05,-1.087,0.15%
000020,000020,景顺长城品质投资混合A,景顺长城品质投资混合A,混合型-偏股,詹成,景顺长城基金,2.956,3.124,-0.71,4.27,-6.81,-0.47,-0.81,12.1,-10.78,-8.17,-1.96,222.09,14.7516,0.15%
000021,000021,华夏优势增长混合,华夏优势增长混合,混合型-偏股,郑晓辉,华夏基金,2.287,3.457,-0.95,4.76,-8.34,1.69,1.28,15.33,-13.21,-12.94,-0.44,368.35,18.1912,0.15%
000024,000024,大摩双利增强债券A,大摩双利增强债券A,债券型-混合一级,周梦琳,摩根士丹利基金,1.1983,1.6891,-0.04,-0.08,0.81,-0.46,2.55,3.79,6.02,7.97,0.04,81.64,3.7489,0.08%
000025,000025,大摩双利增强债券C,大摩双利增强债券C,债券型-混合一级,周梦琳,摩根士丹利基金,1.174,1.6412,-0.04,-0.09,0.77,-0.55,2.35,3.37,5.16,6.68,-0.08,75.05,3.336,0.00%
000028,000028,华富安鑫债券A,华富安鑫债券A,债券型-混合二级,戴弘毅,华富基金,1.0442,1.5102,-0.36,2.29,-4.04,3.22,11.5,11.13,1.52,1.36,4.37,58.49,12.2796,0.08%
000029,000029,富国宏观策略灵活配置混合A,富国宏观策略灵活配置混合A,混合型-灵活,袁宜,富国基金,2.411,2.606,0.17,2.46,-2.19,4.37,10.85,19.77,-16.11,-22.18,0.37,180.25,22.3237,0.15%
000030,000030,长城核心优选混合A,长城核心优选混合A,混合型-灵活,向晨,长城基金,1.0089,1.8678,0.12,3.38,-4.48,-3.24,-2.22,-0.65,-13.66,-17.99,-4.36,86.78,0.7993,0.15%
000031,000031,华夏复兴混合A,华夏复兴混合A,混合型-偏股,郑煜,华夏基金,1.794,1.794,-0.33,3.58,-8.56,-4.06,-4.42,2.34,-35.16,-33.78,-4.93,79.4,6.4688,0.15%
000033,000033,易方达信用债债券C,易方达信用债债券C,债券型-长债,纪玲云,易方达基金,1.1349,1.5599,-0.01,-0.08,0.92,0.05,2.1,3.66,9.12,11.27,0.15,63.46,3.6418,0.00%
