fund_code,fund_name,fund_type,manager_name,company,current_fund,experience_days,total_asset,best_return
000001,华夏成长混合,混合型-灵活,刘睿聪/ 郑晓辉,华夏基金,华夏成长混合,880/ 4913,26.24/ 74.02,6.89/ 91.21
000003,中海可转债债券A,债券型-混合二级,梅寓寒,中海基金,中海可转债债券A,1360,13.08,15.76
000004,中海可转债债券C,债券型-混合二级,梅寓寒,中海基金,中海可转债债券C,1360,13.08,15.76
000005,嘉实增强信用定期债券,债券型-混合一级,吴翠,嘉实基金,嘉实增强信用定期债券,566,44.62,6.5
000006,西部利得量化成长混合A,混合型-偏股,盛丰衍,西部利得基金,西部利得量化成长混合A,3105,66.11,137.91
000008,嘉实中证500ETF联接A,指数型-股票,何如/ 李直,嘉实基金,嘉实中证500ETF联接A,4035/ 2708,1686.56/ 176.99,31.6/ 28.64
000009,易方达天天理财货币A,货币型-普通货币,刘朝阳/ 石大怿,易方达基金,易方达天天理财货币A,4632/ 4564,3292.87/ 4574.03,29.16/ 45.97
000010,易方达天天理财货币B,货币型-普通货币,刘朝阳/ 石大怿,易方达基金,易方达天天理财货币B,4632/ 4564,3292.87/ 4574.03,29.16/ 45.97
000011,华夏大盘精选混合A,混合型-灵活,屠环宇,华夏基金,华夏大盘精选混合A,1890,130.47,49.19
000013,易方达天天理财货币R,货币型-普通货币,刘朝阳/ 石大怿,易方达基金,易方达天天理财货币R,4632/ 4564,3292.87/ 4574.03,29.16/ 45.97
000014,华夏聚利债券A,债券型-混合一级,何家琪,华夏基金,华夏聚利债券A,3185,91.39,71.11
000015,华夏纯债债券A,债券型-长债,柳万军,华夏基金,华夏纯债债券A,4164,101.87,80.27
000016,华夏纯债债券C,债券型-长债,柳万军,华夏基金,华夏纯债债券C,4164,101.87,80.27
000017,财通可持续混合,混合型-偏股,夏钦,财通基金,财通可持续混合,3302,3.36,48.93
000020,景顺长城品质投资混合A,混合型-偏股,詹成,景顺长城基金,景顺长城品质投资混合A,3436,48.34,75.04
000021,华夏优势增长混合,混合型-偏股,郑晓辉,华夏基金,华夏优势增长混合,4913,74.02,91.21
000024,大摩双利增强债券A,债券型-混合一级,周梦琳,摩根士丹利基金,大摩双利增强债券A,928,17.25,6.77
000025,大摩双利增强债券C,债券型-混合一级,周梦琳,摩根士丹利基金,大摩双利增强债券C,928,17.25,6.77
000028,华富安鑫债券A,债券型-混合二级,戴弘毅,华富基金,华富安鑫债券A,976,2.9,25.09
000029,富国宏观策略灵活配置混合A,混合型-灵活,袁宜,富国基金,富国宏观策略灵活配置混合A,4609,2.88,183.96
000030,长城核心优选混合A,混合型-灵活,向晨,长城基金,长城核心优选混合A,941,0.69,-2.91
000031,华夏复兴混合A,混合型-偏股,郑煜,华夏基金,华夏复兴混合A,6863,40.31,272.15
000032,易方达信用债债券A,债券型-长债,纪玲云,易方达基金,易方达信用债债券A,4272,302.31,73.86
000033,易方达信用债债券C,债券型-长债,纪玲云,易方达基金,易方达信用债债券C,4272,302.31,73.86
000037,广发景宁债券A,债券型-长债,宋倩倩,广发基金,广发景宁债券A,1760,834.73,23.01
000039,农银高增长混合,混合型-偏股,张燕,农银汇理基金,农银高增长混合,2988,38.72,85.12
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,李湘杰/ 潘中宁,华夏基金,华夏全球股票(QDII)(人民币),4030/ 2433,45.4/ 26.28,73.97/ -0.54
000042,财通中证ESG100指数增强A,指数型-股票,顾弘原,财通基金,财通中证ESG100指数增强A,1461,5.67,14.91
000043,嘉实美国成长股票人民币,QDII-普通股票,张楠/ 张自力,嘉实基金,嘉实美国成长股票人民币,2264/ 4364,58.54/ 51.26,0.83/ 377.6
000044,嘉实美国成长股票美元现汇,QDII-普通股票,张楠/ 张自力,嘉实基金,嘉实美国成长股票美元现汇,2264/ 4364,58.54/ 51.26,0.83/ 377.6
000045,工银产业债债券A,债券型-混合二级,谷青春/ 何秀红/ 张玮升,工银瑞信基金,工银产业债债券A,528/ 5219/ 2768,163.96/ 82.41/ 59.34,8.21/ 128.38/ 31.78
000046,工银产业债债券B,债券型-混合二级,谷青春/ 何秀红/ 张玮升,工银瑞信基金,工银产业债债券B,528/ 5219/ 2768,163.96/ 82.41/ 59.34,8.21/ 128.38/ 31.78
000047,华夏双债债券A,债券型-混合一级,柳万军,华夏基金,华夏双债债券A,4164,101.87,80.27
000048,华夏双债债券C,债券型-混合一级,柳万军,华夏基金,华夏双债债券C,4164,101.87,80.27
000051,华夏沪深300ETF联接A,指数型-股票,赵宗庭,华夏基金,华夏沪深300ETF联接A,2961,3357.49,90.15
000053,鹏华永诚一年定开债券,债券型-长债,刘涛,鹏华基金,鹏华永诚一年定开债券,3286,347.88,73.47
000054,鹏华双债增利债券A,债券型-混合二级,杨雅洁,鹏华基金,鹏华双债增利债券A,2492,59.11,7.21
000055,广发纳斯达克100ETF联接美元(QDII)A,指数型-海外股票,刘杰,广发基金,广发纳斯达克100ETF联接美元(QDII)A,4073,759.13,182.89
000056,建信消费升级混合,混合型-灵活,邱宇航,建信基金,建信消费升级混合,5068,0.96,104.1
000057,中银消费主题混合A,混合型-偏股,杨庆运,中银基金,中银消费主题混合A,1257,19.38,2.46
000058,国联安安泰灵活配置混合,混合型-灵活,刘佃贵/ 薛琳,国联安基金,国联安安泰灵活配置混合,1426/ 4702,6.36/ 62.86,14.03/ 78.79
000059,国联安中证医药100A,指数型-股票,黄欣,国联安基金,国联安中证医药100A,5519,398.32,101.07
000061,华夏盛世混合,混合型-偏股,郑煜,华夏基金,华夏盛世混合,6863,40.31,272.15
000063,长盛电子信息主题灵活配置混合,混合型-灵活,朱律,长盛基金,长盛电子信息主题灵活配置混合,2196,2.26,7.15
000064,大摩18个月定开债C,债券型-长债,施同亮/ 吴慧文,摩根士丹利基金,大摩18个月定开债C,3059/ 1398,101.86/ 23.22,33.46/ 10.42
000065,国富焦点驱动混合A,混合型-灵活,刘晓/ 刘怡敏,国海富兰克林基金,国富焦点驱动混合A,3019/ 6058,43.01/ 30.37,153.16/ 128.51
000066,诺安鸿鑫混合A,混合型-偏股,李迪,诺安基金,诺安鸿鑫混合A,1607,0.44,-10.14
